step,actic loss,critic loss,average distance,time
1320,-0.6092,0.8377,3.9551,0min0sec
1330,-0.6051,0.8323,3.9482,0min0sec
1340,-0.6009,0.8270,3.9411,0min0sec
1350,-0.5968,0.8217,3.9342,0min0sec
1360,-0.5927,0.8165,3.9275,0min0sec
1370,-0.5887,0.8114,3.9209,0min0sec
1380,-0.5848,0.8064,3.9145,0min0sec
1390,-0.5808,0.8014,3.9082,0min0sec
1400,-0.5769,0.7966,3.9019,0min0sec
1410,-0.5730,0.7917,3.8956,0min0sec
1420,-0.5692,0.7870,3.8895,0min0sec
1430,-0.5656,0.7823,3.8833,0min0sec
1440,-0.5619,0.7776,3.8773,0min0sec
1450,-0.5583,0.7731,3.8713,0min0sec
1460,-0.5547,0.7685,3.8654,0min0sec
1470,-0.5510,0.7641,3.8595,0min0sec
1480,-0.5476,0.7597,3.8537,0min0sec
1490,-0.5440,0.7554,3.8481,0min0sec
1500,-0.5407,0.7511,3.8425,0min0sec
1510,-0.5372,0.7469,3.8370,0min0sec
1520,-0.5338,0.7428,3.8316,0min0sec
1530,-0.5306,0.7386,3.8263,0min0sec
1540,-0.5273,0.7345,3.8209,0min0sec
1550,-0.5241,0.7304,3.8156,0min0sec
1560,-0.5210,0.7264,3.8104,0min0sec
1570,-0.5179,0.7225,3.8051,0min0sec
1580,-0.5147,0.7186,3.8001,0min0sec
1590,-0.5117,0.7149,3.7952,0min0sec
1600,-0.5087,0.7111,3.7904,0min0sec
1610,-0.5058,0.7074,3.7855,0min0sec
1620,-0.5029,0.7037,3.7806,0min0sec
1630,-0.4999,0.7000,3.7757,0min0sec
1640,-0.4971,0.6964,3.7710,0min0sec
1650,-0.4943,0.6929,3.7665,0min0sec
1660,-0.4916,0.6894,3.7618,0min0sec
1670,-0.4888,0.6859,3.7573,0min0sec
1680,-0.4861,0.6824,3.7527,0min0sec
1690,-0.4834,0.6790,3.7482,0min0sec
1700,-0.4807,0.6756,3.7437,0min0sec
1710,-0.4779,0.6722,3.7393,0min0sec
1720,-0.4754,0.6689,3.7350,0min0sec
1730,-0.4728,0.6657,3.7307,0min0sec
1740,-0.4702,0.6624,3.7265,0min0sec
1750,-0.4677,0.6592,3.7223,0min0sec
1760,-0.4653,0.6560,3.7183,0min0sec
1770,-0.4628,0.6528,3.7142,0min0sec
1780,-0.4602,0.6497,3.7101,0min0sec
1790,-0.4577,0.6466,3.7060,0min0sec
1800,-0.4553,0.6435,3.7019,0min0sec
1810,-0.4529,0.6404,3.6980,0min0sec
1820,-0.4506,0.6374,3.6940,0min0sec
1830,-0.4483,0.6344,3.6902,0min0sec
1840,-0.4460,0.6314,3.6864,0min0sec
1850,-0.4436,0.6285,3.6827,0min0sec
1860,-0.4414,0.6256,3.6789,0min0sec
1870,-0.4392,0.6226,3.6752,0min0sec
1880,-0.4370,0.6198,3.6716,0min0sec
1890,-0.4348,0.6169,3.6680,0min0sec
1900,-0.4325,0.6142,3.6643,0min0sec
1910,-0.4305,0.6114,3.6607,0min0sec
1920,-0.4284,0.6087,3.6572,0min0sec
1930,-0.4263,0.6059,3.6536,0min0sec
