step,actic loss,critic loss,average distance,time
1320,-0.3116,0.5686,3.5197,0min0sec
1330,-0.3092,0.5661,3.5193,0min0sec
1340,-0.3068,0.5637,3.5189,0min0sec
1350,-0.3045,0.5614,3.5186,0min0sec
1360,-0.3022,0.5590,3.5180,0min0sec
1370,-0.2999,0.5568,3.5172,0min0sec
1380,-0.2978,0.5549,3.5161,0min0sec
1390,-0.2956,0.5530,3.5152,0min0sec
1400,-0.2935,0.5510,3.5143,0min0sec
1410,-0.2915,0.5490,3.5134,0min0sec
1420,-0.2897,0.5471,3.5123,0min0sec
1430,-0.2873,0.5454,3.5112,0min0sec
1440,-0.2857,0.5437,3.5102,0min0sec
1450,-0.2840,0.5420,3.5087,0min0sec
1460,-0.2819,0.5402,3.5074,0min0sec
1470,-0.2801,0.5383,3.5059,0min0sec
1480,-0.2784,0.5363,3.5040,0min0sec
1490,-0.2766,0.5344,3.5024,0min0sec
1500,-0.2748,0.5325,3.5005,0min0sec
1510,-0.2734,0.5307,3.4986,0min0sec
1520,-0.2719,0.5287,3.4964,0min0sec
1530,-0.2701,0.5268,3.4942,0min0sec
1540,-0.2686,0.5248,3.4918,0min0sec
1550,-0.2670,0.5228,3.4893,0min0sec
1560,-0.2656,0.5207,3.4867,0min0sec
1570,-0.2643,0.5185,3.4838,0min0sec
1580,-0.2628,0.5164,3.4809,0min0sec
1590,-0.2615,0.5142,3.4777,0min0sec
1600,-0.2600,0.5119,3.4743,0min0sec
1610,-0.2586,0.5096,3.4709,0min0sec
1620,-0.2573,0.5074,3.4673,0min0sec
1630,-0.2562,0.5051,3.4637,0min0sec
1640,-0.2549,0.5028,3.4601,0min0sec
1650,-0.2537,0.5006,3.4565,0min0sec
1660,-0.2522,0.4985,3.4531,0min0sec
1670,-0.2510,0.4964,3.4496,0min0sec
1680,-0.2499,0.4943,3.4461,0min0sec
1690,-0.2487,0.4921,3.4426,0min0sec
1700,-0.2475,0.4900,3.4390,0min0sec
1710,-0.2464,0.4877,3.4354,0min0sec
1720,-0.2452,0.4855,3.4317,0min0sec
1730,-0.2441,0.4834,3.4281,0min0sec
1740,-0.2431,0.4812,3.4245,0min0sec
1750,-0.2419,0.4790,3.4209,0min0sec
1760,-0.2408,0.4768,3.4172,0min0sec
1770,-0.2396,0.4746,3.4136,0min0sec
