步骤, 状态栈, 符号栈, 动作说明
76,0 1 3 4 12 21 22 7 8 33 73 54 42 ,# { DECLS STMTS while id do { id = EXPR ADD NEGA ,规约： NEGA->FACTOR 
77,0 1 3 4 12 21 22 7 8 33 73 54 58 ,# { DECLS STMTS while id do { id = EXPR ADD TERM ,规约： TERM->NEGA 
78,0 1 3 4 12 21 22 7 8 33 73 ,# { DECLS STMTS while id do { id = EXPR ,规约： EXPR->EXPR ADD TERM 
79,0 1 3 4 12 21 22 7 8 33 73 74 ,# { DECLS STMTS while id do { id = EXPR ; ,移进
80,0 1 3 4 12 21 22 7 13 ,# { DECLS STMTS while id do { STMT ,规约： STMT->id = EXPR ; 
81,0 1 3 4 12 21 22 7 75 ,# { DECLS STMTS while id do { STMTS ,规约： STMTS->STMT 
82,0 1 3 4 12 21 22 7 75 8 ,# { DECLS STMTS while id do { STMTS id ,移进
83,0 1 3 4 12 21 22 7 75 8 33 ,# { DECLS STMTS while id do { STMTS id = ,移进
84,0 1 3 4 12 21 22 7 75 8 33 43 ,# { DECLS STMTS while id do { STMTS id = id ,移进
85,0 1 3 4 12 21 22 7 75 8 33 47 ,# { DECLS STMTS while id do { STMTS id = FACTOR ,规约： FACTOR->id 
86,0 1 3 4 12 21 22 7 75 8 33 42 ,# { DECLS STMTS while id do { STMTS id = NEGA ,规约： NEGA->FACTOR 
87,0 1 3 4 12 21 22 7 75 8 33 39 ,# { DECLS STMTS while id do { STMTS id = TERM ,规约： TERM->NEGA 
88,0 1 3 4 12 21 22 7 75 8 33 73 ,# { DECLS STMTS while id do { STMTS id = EXPR ,规约： EXPR->TERM 
89,0 1 3 4 12 21 22 7 75 8 33 73 55 ,# { DECLS STMTS while id do { STMTS id = EXPR + ,移进
90,0 1 3 4 12 21 22 7 75 8 33 73 54 ,# { DECLS STMTS while id do { STMTS id = EXPR ADD ,规约： ADD->+ 
91,0 1 3 4 12 21 22 7 75 8 33 73 54 45 ,# { DECLS STMTS while id do { STMTS id = EXPR ADD number ,移进
92,0 1 3 4 12 21 22 7 75 8 33 73 54 47 ,# { DECLS STMTS while id do { STMTS id = EXPR ADD FACTOR ,规约： FACTOR->number 
93,0 1 3 4 12 21 22 7 75 8 33 73 54 42 ,# { DECLS STMTS while id do { STMTS id = EXPR ADD NEGA ,规约： NEGA->FACTOR 
94,0 1 3 4 12 21 22 7 75 8 33 73 54 58 ,# { DECLS STMTS while id do { STMTS id = EXPR ADD TERM ,规约： TERM->NEGA 
95,0 1 3 4 12 21 22 7 75 8 33 73 ,# { DECLS STMTS while id do { STMTS id = EXPR ,规约： EXPR->EXPR ADD TERM 
96,0 1 3 4 12 21 22 7 75 8 33 73 74 ,# { DECLS STMTS while id do { STMTS id = EXPR ; ,移进
97,0 1 3 4 12 21 22 7 75 76 ,# { DECLS STMTS while id do { STMTS STMT ,规约： STMT->id = EXPR ; 
98,0 1 3 4 12 21 22 7 75 ,# { DECLS STMTS while id do { STMTS ,规约： STMTS->STMTS STMT 
99,0 1 3 4 12 21 22 7 75 8 ,# { DECLS STMTS while id do { STMTS id ,移进
100,0 1 3 4 12 21 22 7 75 8 34 ,# { DECLS STMTS while id do { STMTS id := ,移进
101,0 1 3 4 12 21 22 7 75 8 34 43 ,# { DECLS STMTS while id do { STMTS id := id ,移进
102,0 1 3 4 12 21 22 7 75 8 34 47 ,# { DECLS STMTS while id do { STMTS id := FACTOR ,规约： FACTOR->id 
103,0 1 3 4 12 21 22 7 75 8 34 42 ,# { DECLS STMTS while id do { STMTS id := NEGA ,规约： NEGA->FACTOR 
104,0 1 3 4 12 21 22 7 75 8 34 39 ,# { DECLS STMTS while id do { STMTS id := TERM ,规约： TERM->NEGA 
105,0 1 3 4 12 21 22 7 75 8 34 36 ,# { DECLS STMTS while id do { STMTS id := EXPR ,规约： EXPR->TERM 
106,0 1 3 4 12 21 22 7 75 8 34 36 65 ,# { DECLS STMTS while id do { STMTS id := EXPR <= ,移进
107,0 1 3 4 12 21 22 7 75 8 34 36 64 ,# { DECLS STMTS while id do { STMTS id := EXPR ROP ,规约： ROP-><= 
108,0 1 3 4 12 21 22 7 75 8 34 36 64 45 ,# { DECLS STMTS while id do { STMTS id := EXPR ROP number ,移进
109,0 1 3 4 12 21 22 7 75 8 34 36 64 47 ,# { DECLS STMTS while id do { STMTS id := EXPR ROP FACTOR ,规约： FACTOR->number 
110,0 1 3 4 12 21 22 7 75 8 34 36 64 42 ,# { DECLS STMTS while id do { STMTS id := EXPR ROP NEGA ,规约： NEGA->FACTOR 
111,0 1 3 4 12 21 22 7 75 8 34 36 64 39 ,# { DECLS STMTS while id do { STMTS id := EXPR ROP TERM ,规约： TERM->NEGA 
