  ,&&,while,<,:=,=,+,),(,write,else,£¬,>,<=,id,},do,#,int,number,/,bool,!=,;,*,if,!,{,||,>=,then,==,-,read,PROG,FACTOR,NAME,REL,JOIN,Start,EXPR,DECL,BOOL,NOT,NEGA,TERM,MUL,DECLS,STMTS,STMT,ROP,ADD,NAMES
state 52,r34,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,r34,error,error,error,error,r34,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 53,error,error,error,error,error,s55,s57,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s56,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s54,error
state 54,error,error,error,error,error,error,error,s40,error,error,error,error,error,s43,error,error,error,error,s45,error,error,error,error,error,error,error,error,error,error,error,error,s38,error,error,s47,error,error,error,error,error,error,error,error,s42,s58,error,error,error,error,error,error,error
state 55,error,error,error,error,error,error,error,r21,error,error,error,error,error,r21,error,error,error,error,r21,error,error,error,error,error,error,error,error,error,error,error,error,r21,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 56,error,error,error,error,error,error,error,r22,error,error,error,error,error,r22,error,error,error,error,r22,error,error,error,error,error,error,error,error,error,error,error,error,r22,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 57,r29,error,r29,error,error,r29,r29,error,error,error,error,r29,r29,error,error,error,error,error,error,r29,error,r29,r29,r29,error,error,error,r29,r29,error,r29,r29,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 58,r19,error,r19,error,error,r19,r19,error,error,error,error,r19,r19,error,error,error,error,error,error,s60,error,r19,r19,s59,error,error,error,r19,r19,error,r19,r19,error,error,error,error,error,error,error,error,error,error,error,error,error,s61,error,error,error,error,error,error
state 59,error,error,error,error,error,error,error,r25,error,error,error,error,error,r25,error,error,error,error,r25,error,error,error,error,error,error,error,error,error,error,error,error,r25,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 60,error,error,error,error,error,error,error,r26,error,error,error,error,error,r26,error,error,error,error,r26,error,error,error,error,error,error,error,error,error,error,error,error,r26,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 61,error,error,error,error,error,error,error,s40,error,error,error,error,error,s43,error,error,error,error,s45,error,error,error,error,error,error,error,error,error,error,error,error,s38,error,error,s47,error,error,error,error,error,error,error,error,s62,error,error,error,error,error,error,error,error
